metric,your_network,random_mean,random_std,ratio,z_score
clustering,0.13322044968552954,0.0006299323869149603,6.1133615026524e-05,211.48372817909114,2168.864334966738
transitivity,0.007071420940609925,0.0006107205041970111,7.032075323221462e-05,11.578816974399095,91.87473312577097
density,0.00035812343320997973,0.0003569408023133286,2.1871431274567562e-06,1.0033132409883838,0.5407194809542752
reciprocity,0.02458820720935784,0.00037558300526812407,0.00021869418512219423,65.46677262940752,110.71453130114566
avg_path_length,3.76564173983756,5.25353312376062,0.015803112215312817,0.7167827157701467,-94.1517951433219
