tf,target,weight,importance,interaction,edge_color,edge_width
TFB2M,C1orf43,0.16683262586593628,0.16683262586593628,activation,#00FF00,0.8401366004223334
IPO13,C1orf50,0.4179750382900238,0.4179750382900238,activation,#00FF00,2.1048408601597988
C1orf122,C1orf50,0.20452116429805756,0.20452116429805756,activation,#00FF00,1.0299287372355073
PIGY,C1orf50,-0.17365777492523193,0.17365777492523193,repression,#FF0000,0.8745067213641456
SNX3,C1orf87,-0.1293259859085083,0.1293259859085083,repression,#FF0000,0.6512604688890479
HINT1,C1orf87,0.11162933707237244,0.11162933707237244,activation,#00FF00,0.5621435931287493
ZNF525,C1orf87,-0.09503774344921112,0.09503774344921112,repression,#FF0000,0.5
PSMC4,C1orf94,0.3168441355228424,0.3168441355228424,activation,#00FF00,1.5955653368173999
HERPUD1,C1orf94,-0.12263882160186768,0.12263882160186768,repression,#FF0000,0.6175852122785018
CTCFL,C1orf94,0.10810305178165436,0.10810305178165436,activation,#00FF00,0.544385907418978
ERGIC3,C20orf24,0.20989146828651428,0.20989146828651428,activation,#00FF00,1.0569725418431393
DPY30,C20orf24,0.09538016468286514,0.09538016468286514,activation,#00FF00,0.5
DDX27,C20orf24,0.08474621921777725,0.08474621921777725,activation,#00FF00,0.5
SOX12,C20orf27,0.1803247034549713,0.1803247034549713,activation,#00FF00,0.9080800745446853
UBOX5,C20orf27,0.1302729845046997,0.1302729845046997,activation,#00FF00,0.6560293693189213
PSMG2,C20orf27,-0.12371043115854263,0.12371043115854263,repression,#FF0000,0.6229816292278367
CDC20B,C20orf85,0.3239099085330963,0.3239099085330963,activation,#00FF00,1.6311471930962842
TEKT1,C20orf85,0.28489598631858826,0.28489598631858826,activation,#00FF00,1.4346806817750681
FOXJ1,C20orf85,0.08564834296703339,0.08564834296703339,activation,#00FF00,0.5
MXD3,C21orf58,0.21718692779541016,0.21718692779541016,activation,#00FF00,1.0937110545801374
PTTG1IP,C21orf58,0.14681002497673035,0.14681002497673035,activation,#00FF00,0.7393066832801775
HMGN1,C21orf58,0.13819430768489838,0.13819430768489838,activation,#00FF00,0.6959196095696896
HMGN1,C21orf91,0.11996467411518097,0.11996467411518097,activation,#00FF00,0.6041187265306945
CTNNA1,C21orf91,-0.10687313228845596,0.10687313228845596,repression,#FF0000,0.5381922724723027
APP,C21orf91,0.1028250977396965,0.1028250977396965,activation,#00FF00,0.5178071591496853
UBE2G2,C22orf23,0.20536558330059052,0.20536558330059052,activation,#00FF00,1.0341810668169535
MTMR12,C22orf23,0.11842473596334457,0.11842473596334457,activation,#00FF00,0.5963638980190094
PLIN5,C22orf23,0.08619273453950882,0.08619273453950882,activation,#00FF00,0.5
THAP7,C22orf39,0.37028199434280396,0.37028199434280396,activation,#00FF00,1.864667982716698
PAIP2,C22orf39,0.17733821272850037,0.17733821272850037,activation,#00FF00,0.8930406890941058
EIF4ENIF1,C22orf39,0.15065008401870728,0.15065008401870728,activation,#00FF00,0.7586444724698054
SPCS1,C2CD2,-0.18489885330200195,0.18489885330200195,repression,#FF0000,0.9311146020081249
HMGN1,C2CD2,0.15375812351703644,0.15375812351703644,activation,#00FF00,0.7742959538545251
CLINT1,C2CD2,0.1507464349269867,0.1507464349269867,activation,#00FF00,0.7591296768721777
RNF213,C2CD3,0.1170618012547493,0.1170618012547493,activation,#00FF00,0.5895004243625017
ATG16L2,C2CD3,0.10484185814857483,0.10484185814857483,activation,#00FF00,0.5279631716501596
CHMP2A,C2CD3,0.09936235845088959,0.09936235845088959,activation,#00FF00,0.5003694787250852
TMED2,C2CD4A,0.14113864302635193,0.14113864302635193,activation,#00FF00,0.7107467087143131
RAB4A,C2CD4A,-0.12374480068683624,0.12374480068683624,repression,#FF0000,0.6231547074762239
SCO1,C2CD4A,0.11080578714609146,0.11080578714609146,activation,#00FF00,0.5579963561494563
