tf,target,importance,weight
TSC22D1,A4GALT,0.13827775418758392,-0.13827775418758392
ATP2C1,A4GALT,0.11363644897937775,-0.11363644897937775
MFN2,A4GALT,0.11188936978578568,-0.11188936978578568
HNRNPA1L2,AAAS,0.15010128915309906,0.15010128915309906
NDUFA12,AAAS,0.13355928659439087,0.13355928659439087
PPM1B,AAAS,0.10755393654108047,-0.10755393654108047
SERPINA12,AADACL2,0.1865558624267578,0.1865558624267578
FLG,AADACL2,0.1344730257987976,0.1344730257987976
CERS3,AADACL2,0.108405202627182,0.108405202627182
CCDC57,AADAT,0.21247261762619019,0.21247261762619019
SLC5A3,AADAT,0.1118510514497757,0.1118510514497757
PAIP2,AADAT,0.1107165738940239,-0.1107165738940239
KMT2C,AAK1,0.25997865200042725,0.25997865200042725
TOP3A,AAK1,0.21169929206371307,0.21169929206371307
PPM1B,AAK1,0.15265940129756927,0.15265940129756927
USP35,AAMDC,0.5281434655189514,0.5281434655189514
PSMD10,AAMDC,0.10177870094776154,0.10177870094776154
HINT1,AAMDC,0.0985761359333992,0.0985761359333992
GANAB,AAMP,0.20834685862064362,0.20834685862064362
XRCC5,AAMP,0.19696404039859772,0.19696404039859772
SYMPK,AAMP,0.17227622866630554,0.17227622866630554
ERGIC3,AAR2,0.347816526889801,0.347816526889801
DDX21,AAR2,0.18218646943569183,0.18218646943569183
RPS27A,AAR2,0.17550155520439148,-0.17550155520439148
MAD2L1BP,AARS2,0.21860460937023163,0.21860460937023163
ZNF526,AARS2,0.11613281816244125,0.11613281816244125
PSMG2,AARS2,0.10724034160375595,-0.10724034160375595
POLR2B,AASDH,0.5277553796768188,0.5277553796768188
DHX15,AASDH,0.1636972278356552,0.1636972278356552
UCN,AASDH,0.09973210096359253,0.09973210096359253
PPM1B,AASS,0.22344738245010376,0.22344738245010376
EEF1B2,AASS,0.1495693325996399,0.1495693325996399
APP,AASS,0.12925225496292114,0.12925225496292114
PLIN5,AATK,0.11929680407047272,0.11929680407047272
TEKT1,AATK,0.10076592117547989,0.10076592117547989
TMEM165,AATK,0.0910249575972557,0.0910249575972557
SEC23IP,ABAT,0.18993163108825684,0.18993163108825684
DPP9,ABAT,0.15307572484016418,0.15307572484016418
HADHB,ABAT,0.12186833471059799,0.12186833471059799
HNRNPK,ABCA2,0.13564100861549377,0.13564100861549377
DUSP11,ABCA2,0.12393009662628174,-0.12393009662628174
ARPC3,ABCA2,0.12186011672019958,-0.12186011672019958
DPP9,ABCA7,0.09077420085668564,0.09077420085668564
RAB11FIP2,ABCA7,0.08853115886449814,-0.08853115886449814
THAP11,ABCA7,0.08110228180885315,0.08110228180885315
RAB4A,ABCB10,0.2059960961341858,0.2059960961341858
SRP9,ABCB10,0.18966709077358246,0.18966709077358246
TFB2M,ABCB10,0.17676858603954315,0.17676858603954315
CCT7,ABCB6,0.131283700466156,0.131283700466156
SYF2,ABCB6,0.11319135874509811,-0.11319135874509811
EEF1B2,ABCB6,0.11150945723056793,0.11150945723056793
KLHL20,ABCB7,0.148391991853714,0.148391991853714
ARFGAP1,ABCB7,0.12173626571893692,-0.12173626571893692
KMT2C,ABCB7,0.11831600219011307,0.11831600219011307
NDUFB2,ABCB8,0.16922029852867126,0.16922029852867126
DNAJB6,ABCB8,0.1285499781370163,0.1285499781370163
EXOSC1,ABCB8,0.1170082837343216,0.1170082837343216
SRSF9,ABCB9,0.2740839719772339,0.2740839719772339
ATP6V0E1,ABCB9,0.13991056382656097,0.13991056382656097
CCT7,ABCB9,0.13695447146892548,0.13695447146892548
LITAF,ABCC1,0.16627036035060883,0.16627036035060883
CHMP1B,ABCC1,0.15817300975322723,0.15817300975322723
HMGN1,ABCC1,0.12557001411914825,-0.12557001411914825
MAD2L1BP,ABCC10,0.23137645423412323,0.23137645423412323
CUL9,ABCC10,0.16550247371196747,0.16550247371196747
DDX21,ABCC10,0.12818551063537598,0.12818551063537598
STARD3,ABCC3,0.17110131680965424,0.17110131680965424
ASCC3,ABCC3,0.1645258516073227,0.1645258516073227
PIGY,ABCC3,0.15424230694770813,-0.15424230694770813
STARD3,ABCC4,0.19651739299297333,0.19651739299297333
UBE2G2,ABCC4,0.10449301451444626,-0.10449301451444626
NOP10,ABCC4,0.10422207415103912,0.10422207415103912
NDUFB5,ABCC5,0.13502316176891327,0.13502316176891327
ASCC3,ABCC5,0.1347232162952423,-0.1347232162952423
AIDA,ABCC5,0.10512189567089081,-0.10512189567089081
ZFAND6,ABCC6,0.15832053124904633,0.15832053124904633
VPS18,ABCC6,0.10402297228574753,-0.10402297228574753
